,regime
2013-05-13,Bull
2013-05-14,Bull
2013-05-15,Bull
2013-05-16,Bull
2013-05-17,Bull
2013-05-20,Bull
2013-05-21,Bull
2013-05-22,Bull
2013-05-23,Bull
2013-05-24,Bull
2013-05-27,Bull
2013-05-28,Bull
2013-05-29,Bull
2013-05-30,Bull
2013-05-31,Bull
2013-06-03,Bull
2013-06-04,Bull
2013-06-05,Bull
2013-06-06,Bull
2013-06-07,Bull
2013-06-10,Bull
2013-06-11,Bull
2013-06-12,Bull
2013-06-13,Bull
2013-06-14,Bull
2013-06-17,Bull
2013-06-18,Bull
2013-06-19,Bull
2013-06-20,Bull
2013-06-21,Bull
2013-06-24,Bull
2013-06-25,Bull
2013-06-26,Bull
2013-06-27,Bull
2013-06-28,Bull
2013-07-01,Bull
2013-07-02,Bull
2013-07-03,Bull
2013-07-04,Bull
2013-07-05,Bull
2013-07-08,Bull
2013-07-09,Bull
2013-07-10,Bull
2013-07-11,Bull
2013-07-12,Bull
2013-07-15,Bull
2013-07-16,Bull
2013-07-17,Bull
2013-07-18,Bull
2013-07-19,Bull
2013-07-22,Bull
2013-07-23,Bull
2013-07-24,Bull
2013-07-25,Bull
2013-07-26,Bull
2013-07-29,Bull
2013-07-30,Bull
2013-07-31,Bull
2013-08-01,Bull
2013-08-02,Bull
2013-08-05,Bull
2013-08-06,Bull
2013-08-07,Bull
2013-08-08,Bull
2013-08-09,Bull
2013-08-12,Bull
2013-08-13,Bull
2013-08-14,Bull
2013-08-15,Bull
2013-08-16,Bull
2013-08-19,Bull
2013-08-20,Bull
2013-08-21,Bull
2013-08-22,Bull
2013-08-23,Bull
2013-08-26,Bull
2013-08-27,Bull
2013-08-28,Bull
2013-08-29,Bull
2013-08-30,Bull
2013-09-02,Bull
2013-09-03,Bull
2013-09-04,Bull
2013-09-05,Bull
2013-09-06,Bull
2013-09-09,Bull
2013-09-10,Bull
2013-09-11,Bull
2013-09-12,Bull
2013-09-13,Bull
2013-09-16,Bull
2013-09-17,Bull
2013-09-18,Bull
2013-09-19,Bull
2013-09-20,Bull
2013-09-23,Bull
2013-09-24,Bull
2013-09-25,Bull
2013-09-26,Bull
2013-09-27,Bull
2013-09-30,Bull
2013-10-01,Bull
2013-10-02,Bull
2013-10-03,Bull
2013-10-04,Bull
2013-10-07,Bull
2013-10-08,Bull
2013-10-09,Bull
2013-10-10,Bull
2013-10-11,Bull
2013-10-14,Bull
2013-10-15,Bull
2013-10-16,Bull
2013-10-17,Bull
2013-10-18,Bull
2013-10-21,Bull
2013-10-22,Bull
2013-10-23,Bull
2013-10-24,Bull
2013-10-25,Bull
2013-10-28,Bull
2013-10-29,Bull
2013-10-30,Bull
2013-10-31,Bull
2013-11-01,Bull
2013-11-04,Bull
2013-11-05,Bull
2013-11-06,Bull
2013-11-07,Bull
2013-11-08,Bull
2013-11-11,Bull
2013-11-12,Bull
2013-11-13,Bull
2013-11-14,Bull
2013-11-15,Bull
2013-11-18,Bull
2013-11-19,Bull
2013-11-20,Bull
2013-11-21,Bull
2013-11-22,Bull
2013-11-25,Bull
2013-11-26,Bull
2013-11-27,Bull
2013-11-28,Bull
2013-11-29,Bull
2013-12-02,Bull
2013-12-03,Bull
2013-12-04,Bull
2013-12-05,Bull
2013-12-06,Bull
2013-12-09,Bull
2013-12-10,Bear
2013-12-11,Bear
2013-12-12,Bear
2013-12-13,Bear
2013-12-16,Bear
2013-12-17,Crisis
2013-12-18,Crisis
2013-12-19,Crisis
2013-12-20,Crisis
2013-12-23,Crisis
2013-12-24,Crisis
2013-12-25,Crisis
2013-12-26,Crisis
2013-12-27,Crisis
2013-12-30,Crisis
2013-12-31,Crisis
2014-01-01,Crisis
2014-01-02,Crisis
2014-01-03,Crisis
2014-01-06,Crisis
2014-01-07,Crisis
2014-01-08,Crisis
2014-01-09,Crisis
2014-01-10,Crisis
2014-01-13,Crisis
2014-01-14,Crisis
2014-01-15,Crisis
2014-01-16,Crisis
2014-01-17,Crisis
2014-01-20,Crisis
2014-01-21,Crisis
2014-01-22,Crisis
